tamanho,cenario,algoritmo,comparacoes,trocas,movimentacoes,total
10,Aleatorio,Bubble Sort,44,19,38,82
10,Aleatorio,Insertion Sort,27,0,28,55
10,Aleatorio,Selection Sort,45,7,14,59
10,Aleatorio,Quick Sort,29,7,14,43
10,Ordenado,Bubble Sort,9,0,0,9
10,Ordenado,Insertion Sort,9,0,9,18
10,Ordenado,Selection Sort,45,0,0,45
10,Ordenado,Quick Sort,45,0,0,45
10,Inverso,Bubble Sort,45,45,90,135
10,Inverso,Insertion Sort,45,0,54,99
10,Inverso,Selection Sort,45,5,10,55
10,Inverso,Quick Sort,45,5,10,55
20,Aleatorio,Bubble Sort,189,84,168,357
20,Aleatorio,Insertion Sort,99,0,103,202
20,Aleatorio,Selection Sort,190,16,32,222
20,Aleatorio,Quick Sort,58,28,56,114
20,Ordenado,Bubble Sort,19,0,0,19
20,Ordenado,Insertion Sort,19,0,19,38
20,Ordenado,Selection Sort,190,0,0,190
20,Ordenado,Quick Sort,190,0,0,190
20,Inverso,Bubble Sort,190,190,380,570
20,Inverso,Insertion Sort,190,0,209,399
20,Inverso,Selection Sort,190,10,20,210
20,Inverso,Quick Sort,190,10,20,210
1000,Aleatorio,Bubble Sort,499122,239681,479362,978484
1000,Aleatorio,Insertion Sort,240670,0,240680,481350
1000,Aleatorio,Selection Sort,499500,992,1984,501484
1000,Aleatorio,Quick Sort,10385,4543,9086,19471
1000,Ordenado,Bubble Sort,999,0,0,999
1000,Ordenado,Insertion Sort,999,0,999,1998
1000,Ordenado,Selection Sort,499500,0,0,499500
1000,Ordenado,Quick Sort,499500,0,0,499500
1000,Inverso,Bubble Sort,499500,499456,998912,1498412
1000,Inverso,Insertion Sort,499496,0,500455,999951
1000,Inverso,Selection Sort,499500,517,1034,500534
1000,Inverso,Quick Sort,483534,517,1034,484568
